transaction_id,customer_id,transaction_date,channel,transaction_type,amount
T101,C001,2025-10-01,UPI,CREDIT,5000
T102,C002,2025-10-01,ATM,DEBIT,2000
T103,C003,2025-10-02,MOBILE,CREDIT,7000
T104,C004,2025-10-02,BRANCH,DEBIT,1500
T105,C005,2025-10-03,UPI,CREDIT,9000
T106,C001,2025-10-03,ATM,DEBIT,1000
T107,C002,2025-10-04,MOBILE,CREDIT,4000
T108,C003,2025-10-04,UPI,DEBIT,3000
T109,C004,2025-10-05,ATM,CREDIT,6000
T110,C005,2025-10-05,BRANCH,DEBIT,2500
T111,C001,2025-10-06,UPI,CREDIT,8000
T112,C002,2025-10-06,MOBILE,DEBIT,1200
T113,C003,2025-10-07,ATM,CREDIT,5000
T114,C004,2025-10-07,UPI,DEBIT,2000
T115,C005,2025-10-08,MOBILE,CREDIT,10000
T116,C001,2025-10-08,BRANCH,DEBIT,1800
T117,C002,2025-10-09,UPI,CREDIT,4500
T118,C003,2025-10-09,ATM,DEBIT,2200
T119,C004,2025-10-10,MOBILE,CREDIT,6500
T120,C005,2025-10-10,UPI,DEBIT,2700
T121,C999,2025-10-11,UPI,CREDIT,5000
T122,C001,2025-10-11,CRYPTO,CREDIT,4000
T123,C002,2025-10-12,ATM,DEBIT,-500
T124,C003,2025-10-12,MOBILE,TRANSFER,3000
T125,C004,2025-10-12,UPI,CREDIT,7000
